month,pushes,actor,actor_attributes_location
7/1/2014,2,nobuti,Spain
7/1/2014,1,erictsai6,NYC
7/1/2014,2,KyleMit,Vermont
7/1/2014,15,fat,"San Francisco, CA"
7/1/2014,2,aadjemonkeyrock,"Delft, Netherlands"
7/1/2014,1,Roosso,Russian Federation
7/1/2014,5,mario-deluna,"Z��rich, Switzerland"
7/1/2014,1,SFdevgirl,United States
7/1/2014,2,juthilo,"M��nster, Germany"
7/1/2014,1,Ninos,Germany
7/1/2014,1,mganss,Berlin
7/1/2014,22,apexskier,"Bellingham, WA"
7/1/2014,1,danieltartarottisobrosa,Montenegro - RS - Brazil
7/1/2014,1,danielhusar,Dublin ��� Slovakia
7/1/2014,1,endyjasmi,Malaysia
7/1/2014,2,calekennedy,Oklahoma
7/1/2014,3,kkaysullivan,"Nashville, TN, USA"
7/1/2014,1,Rhiana,Melbourne
7/1/2014,2,loi-chuanoi,M���t n���a s��� th���t
7/1/2014,1,JelteF,"Amsterdam, Netherlands"
7/1/2014,1,kennethormandy,"Vancouver, BC"
7/1/2014,1,electricshaman,"Oklahoma City, OK, USA"
7/1/2014,1,i02sopop,Madrid
7/1/2014,16,aoimedia,Scotland UK
7/1/2014,1,Nimaen,France
7/1/2014,1,sfdevgirl,United States
7/1/2014,1,mattrw89,"Orlando, FL"
7/1/2014,1,Zomega,"Cambridge, MA"
7/1/2014,1,valera-rozuvan,"Kiev, Ukraine"
7/1/2014,43,fedynapavlo,Lviv
7/1/2014,1,jguiss,Avignon
7/1/2014,1,artbelov,"Russia, Samara"
7/1/2014,1,ZDroid,Serbia
7/1/2014,1,ayucat,anywhere in the world
7/1/2014,1,dminkovsky,Freenode (dimadima)
7/1/2014,2,haydenbleasel,"Sydney, Australia"
7/1/2014,6,sgonyea,"Irvine, CA"
7/1/2014,1,thomaswinckell,Metz (France)
7/1/2014,2,Makkai,Brasil
7/1/2014,3,hbillings,"Chicago, IL"
7/1/2014,3,ZengJunyong,ChangSha China
7/1/2014,5,just-boris,St.Petersburg
7/1/2014,1,mente,"Odessa, Ukraine"
7/1/2014,1,thomaswelton,London
7/1/2014,3,joshlasdin,"Lancaster, PA"
7/1/2014,26,dvalys,"Austin, TX"
7/1/2014,1,davelaflam,"Santa Monica, CA"
7/1/2014,1,IDisposable,"St. Louis, MO, USA, Earth, Sol, Milky Way, Galaxy"
7/1/2014,72,183614956,"Russia, Nizhny Novgorod"
7/1/2014,28,AsherBond,San Francisco
7/1/2014,3,jdnavarro,"Sevilla, Spain"
7/1/2014,1,atitsbest,Austria
7/1/2014,2,DurgaprasadPati,Chandigarh
7/1/2014,1,Harris-Miller,"Boulder, CO"
7/1/2014,2,mdarens,New Orleans
7/1/2014,2,joamag,"Porto, Portugal"
7/1/2014,2,dkontsevoy,"Lviv, Lviv Oblast, Ukraine"
7/1/2014,2,arsevero,"Lisbon, Portugal"
7/1/2014,2,diegoldn,"Londrina, Parana - Brazil"
7/1/2014,6,gabrielgfa,Brazil
7/1/2014,4,ozzyogkush,"Warminster, PA"
7/1/2014,7,jasny,Amsterdam
7/1/2014,2,petebacondarwin,"London, UK"
7/1/2014,2,JBCSU,"Stanford, CA"
7/1/2014,1,chrisirhc,"San Francisco, CA"
7/1/2014,1,TravenWest,"WV, United States"
7/1/2014,2,pkozlowski-opensource,The internet
7/1/2014,3,neilhem,"Almaty, Kazakhstan"
7/1/2014,5,fabian,"Baden, Switzerland"
7/1/2014,2,evandrewry,"New York, NY"
7/1/2014,1,psgibbs,"San Francisco, CA"
7/1/2014,4,apflieger,Paris
6/1/2014,3,missionsf,San Francisco
6/1/2014,1,JelteF,"Amsterdam, Netherlands"
6/1/2014,4,timmywil,"Chattanooga, TN"
6/1/2014,1,donquixote,Aachen
6/1/2014,1,viger,china
6/1/2014,3,AndreiRailean,"Sydney, Australia"
6/1/2014,1,huebs,"Burbank, CA"
6/1/2014,1,nateirwin,"Denver, Colorado"
6/1/2014,4,juthilo,"M��nster, Germany"
6/1/2014,18,Hinc,"Guangzhou, China"
6/1/2014,4,ciptohadi79,"Lamongan, Indonesia"
6/1/2014,2,schlagert,Karlsruhe
6/1/2014,1,rufo,"Rochester, NY"
6/1/2014,1,eratzlaff,Paraguay
6/1/2014,1,ilikeprograms,Basingstoke
6/1/2014,75,cvrebert,"Santa Monica, California, USA"
6/1/2014,30,cjlpowers,Austin Texas
6/1/2014,63,AsherBond,San Francisco
6/1/2014,5,dminkovsky,Freenode (dimadima)
6/1/2014,26,mosoft521,Shanghai China
6/1/2014,100,mdo,"San Francisco, CA"
6/1/2014,3,Leeft,United Kingdom
6/1/2014,10,ResentedHook,"Seattle, WA"
6/1/2014,21,aoimedia,Scotland UK
6/1/2014,2,cassell,"Herndon, VA"
6/1/2014,45,XhmikosR,Hellas (Greece)
6/1/2014,2,jahia-ci,"Geneva, Switzerland"
6/1/2014,1,justanne,Philippines
6/1/2014,1,derdoktor667,Germany
6/1/2014,7,sudarshan89,Bangalore
6/1/2014,2,electricshaman,"Oklahoma City, OK, USA"
6/1/2014,2,tUrG0n,Lebanon
6/1/2014,30,fat,"San Francisco, CA"
6/1/2014,2,niklasae,Stockholm
6/1/2014,2,glenngillen,"San Francisco, CA"
6/1/2014,4,JBCSU,"Stanford, CA"
6/1/2014,12,aadjemonkeyrock,"Delft, Netherlands"
6/1/2014,1,DaveNotik,"Miami, Florida"
6/1/2014,1,pylover,Iran
6/1/2014,2,allspiritseve,"Ann Arbor, MI"
6/1/2014,1,nfang,Melbourne
6/1/2014,1,jack230230,������
6/1/2014,2,cdutson,Toronto
6/1/2014,1,loi-chuanoi,M���t n���a s��� th���t
6/1/2014,1,khalilravanna,"Austin, TX"
6/1/2014,1,tedeh,"Stockholm, Sweden"
6/1/2014,1,id,Stockholm
6/1/2014,1,watilde,Tokyo
6/1/2014,1,skhilko,"Santa Clara, CA"
6/1/2014,1,shantanusharma,New York
6/1/2014,1,pete-otaqui,Amman
6/1/2014,1,vpukhanov,"Russia, Yaroslavl'"
6/1/2014,2,pkozlowski-opensource,The internet
6/1/2014,2,tjdhome,"Austin, TX"
6/1/2014,1,feryardiant,Pekalongan Indonesia
6/1/2014,1,atitsbest,Austria
6/1/2014,1,pjrobertson,United Kingdom
6/1/2014,2,adragoset,Louisiana
6/1/2014,3,shannonzylstra,"New York, NY"
6/1/2014,36,Paden,"El Paso, TX"
6/1/2014,1,alnutile,"Greenfield, Massachusetts"
6/1/2014,2,kitplummer,"Tucson, AZ"
6/1/2014,38,dvalys,"Austin, TX"
6/1/2014,1,oronnadiv,San Francisco
6/1/2014,3,brendanheywood,"Brisbane, Australia"
6/1/2014,1,lookyman,"Prague, Czech Republic"
6/1/2014,6,raptblue,United States
6/1/2014,1,tubssp,Braunschweig
6/1/2014,1,brentski,"Austin, TX"
6/1/2014,2,pavelzaitsau,Belarus
6/1/2014,3,alexboots,"Austin, TX"
6/1/2014,3,jasny,Amsterdam
6/1/2014,13,fedynapavlo,Lviv
6/1/2014,3,ericschultz,"Oshkosh, WI"
6/1/2014,5,ifduyue,"Beijing, China"
6/1/2014,1,jorkas,"Stockholm, Sweden"
6/1/2014,1,joshvillbrandt,"Los Angeles, CA"
6/1/2014,1,nanuclickity,India
6/1/2014,1,kapooostin,"Saint-Petersburg, Russia"
6/1/2014,2,kvkens,China
6/1/2014,4,Tali-Adebisi,France
6/1/2014,1,lee-daniel,Seoul
6/1/2014,2,psgibbs,"San Francisco, CA"
6/1/2014,4,dual3nigma,"M��xico D.F., M��xico"
6/1/2014,3,corystevens,"Washington, USA"
6/1/2014,2,Merec,Germany
6/1/2014,3,undoZen,"Beijing, China"
6/1/2014,1,sanshanchuns,"Shanghai,China"
6/1/2014,1,zoeesilcock,"Stockholm, Sweden"
6/1/2014,2,jamwjam,"College Park, MD"
6/1/2014,1,mischah,"Kassel, Germany"
6/1/2014,1,dkontsevoy,"Lviv, Lviv Oblast, Ukraine"
6/1/2014,2,minhur,New York
6/1/2014,2,gr4b4z,Krakow
6/1/2014,1,theptrk,San Francisco
6/1/2014,1,fletch3555,"Rochester, NY"
6/1/2014,2,angvishvish,"Sakore nagar, Viman nagar, Pune, Maharastra"
6/1/2014,1,Elesant,"Waterloo, ON"
6/1/2014,1,robertclaytonreed,"Toronto, Canada"
6/1/2014,2,angvishvish,"Ragvilas Society, Koregaon Park, Pune, Maharashtra"
6/1/2014,1,melle852,The Netherlands
6/1/2014,1,Sahibul,Kuala Lumpur Malaysia
6/1/2014,5,blamattina,"Boston, Ma"
6/1/2014,1,pamidipadmapriya,San Francisco
6/1/2014,1,bassjobsen,Orthen
6/1/2014,1,mathiasose,"Trondheim, Norway"
6/1/2014,1,ungerik,"Vienna, Austria"
6/1/2014,1,oliversalzburg,Germany
6/1/2014,6,adam-dutton,"Austin, TX"
6/1/2014,2,enkodellc,"Phoenix, AZ"
6/1/2014,2,ByScripts,France
6/1/2014,1,llafuente,Madrid
6/1/2014,1,kolach,"Saint Petersburg, Russia"
6/1/2014,2,nobuti,Spain
6/1/2014,2,erwanjegouzo,New York
6/1/2014,1,erks,"San Francisco, CA"
6/1/2014,2,StevenBlack,"Kingston, Ontario"
6/1/2014,2,macav,"Bratislava, Slovakia"
6/1/2014,3,mrzzcn,China
6/1/2014,4,joamag,"Porto, Portugal"
6/1/2014,7,thongredweb,Viet Nam
6/1/2014,3,ubenzer,��zmir / T��rkiye
6/1/2014,1,LubomirGeorgiev,"Sofia, Bulgaria"
6/1/2014,10,thomaswelton,London
6/1/2014,5,joelcipriano,"Recife, Brazil"
6/1/2014,35,hnrch02,"Vienna, Austria"
6/1/2014,1,Qlio,Mongolia
6/1/2014,2,accdc,Pacifica
6/1/2014,1,apflieger,Paris
6/1/2014,2,Foxandxss,Spain
6/1/2014,1,joshjb84,Australia
6/1/2014,2,dkrnl,"Krasnoyarsk, Russia"
6/1/2014,1,hbillings,"Chicago, IL"
6/1/2014,1,brandon-barker,"Durban, South Africa"
6/1/2014,24,peterblazejewicz,Warsaw/Poland
6/1/2014,3,benjic,Cut Bank MT
6/1/2014,1,ZDroid,Serbia
6/1/2014,2,voidmain02,"Russia, Ufa"
6/1/2014,1,GFoley83,"Wellington, New Zealand (From Dublin, Ireland)"
6/1/2014,3,vitkutny,Czech Republic
6/1/2014,1,bobotron,"Columbus, OH"
6/1/2014,1,Sammaye,United Kingdom
6/1/2014,1,stelcheck,"Tokyo, Japan"
6/1/2014,2,nl5887,Netherlands
6/1/2014,4,colllin,"Boulder, CO"
6/1/2014,23,gustavohenke,Brazil
6/1/2014,1,mukiwu,"Tapiei, Taiwan"
6/1/2014,2,almonteb,"Boston, MA"
6/1/2014,1,FabledWeb,"Columbus, OH"
6/1/2014,4,releu,Moscow
5/1/2014,17,fedynapavlo,Lviv
5/1/2014,7,thongredweb,Viet Nam
5/1/2014,6,Harris-Miller,"Boulder, CO"
5/1/2014,6,joebadmo,"Portland, OR"
5/1/2014,6,tcmitche,"Portland, OR"
5/1/2014,1,jamespegg,Andover
5/1/2014,77,cvrebert,"Santa Monica, California, USA"
5/1/2014,5,JBCSU,"Stanford, CA"
5/1/2014,1,ubenzer,��zmir / T��rkiye
5/1/2014,1,krainboltgreene,"New Orleans, LA"
5/1/2014,11,jasny,Amsterdam
5/1/2014,2,mattnish,"Santa Barbara, CA"
5/1/2014,2,pirumpi,Denver Colorado
5/1/2014,2,sparanoid,China
5/1/2014,20,aoimedia,Scotland UK
5/1/2014,1,logan99,Kolkata
5/1/2014,10,bassjobsen,Orthen
5/1/2014,4,jtomaszewski,Poland
5/1/2014,59,XhmikosR,Hellas (Greece)
5/1/2014,38,mdo,"San Francisco, CA"
5/1/2014,4,ResentedHook,"Seattle, WA"
5/1/2014,1,Tuxdude,"Mountain View, CA"
5/1/2014,14,ifduyue,"Beijing, China"
5/1/2014,1,vasukola,Los Angeles
5/1/2014,2,davidwparker,"Boulder, CO"
5/1/2014,1,pinodex,"Manila, Philippines."
5/1/2014,3,enkodellc,"Phoenix, AZ"
5/1/2014,28,cptaffe,"Little Rock, Arkansas"
5/1/2014,1,frabrunelle,"Bromont, Quebec, Canada"
5/1/2014,2,tdraier,Paris
5/1/2014,19,mosoft521,Shanghai China
5/1/2014,2,IAmAnubhavSaini,India
5/1/2014,1,rootman,Berlin
5/1/2014,9,gustavohenke,Brazil
5/1/2014,1,dannyqiu,"New York City, NY"
5/1/2014,6,stuartpb,"Seattle, WA"
5/1/2014,2,dminkovsky,Freenode (dimadima)
5/1/2014,1,shenqihui,GuangZhou China
5/1/2014,1,ZDroid,Serbia
5/1/2014,2,fabiolnm,Bel��m - PA
5/1/2014,1,Alvareto,"Zagreb, Croatia"
5/1/2014,1,watilde,Tokyo
5/1/2014,1,ItsJonQ,"Toronto, Canada"
5/1/2014,1,pamidipadmapriya,San Francisco
5/1/2014,2,dennis-g,Germany
5/1/2014,2,sahilm,"Pune, India"
5/1/2014,2,gpakosz,France
5/1/2014,1,JelmerD,The Netherlands
5/1/2014,1,smitherz82,Doncaster
5/1/2014,1,Coridyn,"Brisbane, Australia"
5/1/2014,2,nadangergeo,Sweden
5/1/2014,1,rmehta,"Mumbai, India"
5/1/2014,2,victorleungtw,Hong Kong SAR China
5/1/2014,1,tjdhome,"Austin, TX"
5/1/2014,2,embedthis,"Seattle, Washington. USA."
5/1/2014,33,bassettsj,"San Francisco, CA"
5/1/2014,1,agusl88,Argentina
5/1/2014,4,metakeule,Cologne / Germany
5/1/2014,11,joamag,"Porto, Portugal"
5/1/2014,2,greengerong,china
5/1/2014,4,fat,"San Francisco, CA"
5/1/2014,3,itsnauman,Pakistan
5/1/2014,1,JeremyWeir,"Ventura, CA"
5/1/2014,1,xpromx,Argentina
5/1/2014,1,mfunkie,"Mount Pleasant, SC"
5/1/2014,1,kordero,Argentina
5/1/2014,1,habibun,dhaka
5/1/2014,1,DannyDouglass,"Alexandria, VA"
5/1/2014,1,brandon-barker,"Durban, South Africa"
5/1/2014,4,alexpts,Ukraine
5/1/2014,2,Foxandxss,Spain
5/1/2014,2,dual3nigma,"M��xico D.F., M��xico"
5/1/2014,1,nilkesede,Brazil
5/1/2014,3,michaeldelorenzo,"New York, NY USA"
5/1/2014,1,mlilli,"Santa Monica, CA"
5/1/2014,4,shantanusharma,New York
5/1/2014,1,adobi,"Debrecen, Hungary"
5/1/2014,3,danielhusar,Dublin
5/1/2014,3,mdarens,New Orleans
5/1/2014,1,dakka,Sydney
5/1/2014,28,pkozlowski-opensource,The internet
5/1/2014,55,kruser,"Austin, TX"
5/1/2014,1,MUSAALQARNI,Riyadh
5/1/2014,10,hnrch02,"Vienna, Austria"
5/1/2014,1,mikegreiling,"Minneapolis, MN"
5/1/2014,1,michaeldjeffrey,"Tempe, Arizona"
5/1/2014,1,ericberens,"Minneapolis, MN"
5/1/2014,1,michaek,"Barre, VT"
5/1/2014,2,macav,"Bratislava, Slovakia"
5/1/2014,1,peterblazejewicz,Warsaw/Poland
5/1/2014,3,dkontsevoy,"Lviv, Lviv Oblast, Ukraine"
5/1/2014,2,dotDeeka,Rhode Island
5/1/2014,3,covex-nn,"Nizhniy Novgorod, Russia"
5/1/2014,48,AsherBond,San Francisco
5/1/2014,1,wariking,Beijing
5/1/2014,1,xificurk,Czech Republic
5/1/2014,2,storkme,England
5/1/2014,3,mrobinet,"Minneapolis, MN"
5/1/2014,8,MBehtemam,"Iran,Shiraz"
5/1/2014,1,michaelalber,"San Francisco, CA, USA"
5/1/2014,1,jcutrell,"Chattanooga, TN"
5/1/2014,1,mikemccracken,"Bellingham, WA, USA"
5/1/2014,1,pschuegr,"Vancouver, BC"
5/1/2014,1,pongstr,"Angeles City, Philippines"
5/1/2014,1,hcliff,Cambridge
5/1/2014,2,philhix,UK
5/1/2014,1,intfloat,"Beijing, China"
5/1/2014,1,sgarver,"Santa Barbara, CA"
5/1/2014,1,timvasil,"Cambridge, MA"
5/1/2014,3,ExaBerries,"British Columbia, Canada"
5/1/2014,15,Paden,"El Paso, TX"
5/1/2014,13,CraZySacX,"Maineville,OH"
5/1/2014,1,allspiritseve,"Ann Arbor, MI"
5/1/2014,2,mef,"Brussels, Belgium"
5/1/2014,2,hbillings,"Chicago, IL"
5/1/2014,1,accdc,Pacifica
5/1/2014,1,blnight,Poland
5/1/2014,2,paulpflug,Germany
5/1/2014,4,zoeesilcock,"Stockholm, Sweden"
5/1/2014,1,b00nb0b,Germany
5/1/2014,2,bozdoz,"Calgary, AB"
5/1/2014,2,rh0dium,Phoenix Arizona
5/1/2014,2,nanuclickity,India
5/1/2014,1,fabian,"Baden, Switzerland"
5/1/2014,2,erks,"San Francisco, CA"
5/1/2014,3,pavelzaitsau,Belarus
5/1/2014,3,mattrw89,"Orlando, FL"
5/1/2014,1,kc8wxm,"Petoskey, MI"
5/1/2014,1,Jmumenthaler,Chicago IL
5/1/2014,1,hendrismit,"Groningen, Netherlands"
5/1/2014,20,dvalys,"Austin, TX"
5/1/2014,4,jstonne,"Kuala Lumpur, Malaysia"
5/1/2014,1,tkesgar,Indonesia
5/1/2014,2,almonteb,"Boston, MA"
5/1/2014,1,chadly,"New Orleans, LA"
5/1/2014,1,jorkas,"Stockholm, Sweden"
5/1/2014,7,cjlpowers,Austin Texas
5/1/2014,3,niklasae,Stockholm
5/1/2014,3,BenjaminCh,France
5/1/2014,1,chrisguerrero,"San Diego, CA"
5/1/2014,1,timmywil,"Chattanooga, TN"
5/1/2014,2,tadeuzagallo,"Juiz de Fora, MG"
5/1/2014,1,jamwjam,"College Park, MD"
5/1/2014,1,IanVaughan,"London, England"
5/1/2014,6,encephalopathy,Pleasanton
5/1/2014,1,nicolaspanel,Paris
5/1/2014,5,bekos,Nederland
5/1/2014,10,the-real-girum,"Pleasanton, CA"
5/1/2014,4,TaeGuNi,Seoul
5/1/2014,1,phaseOne,"Lancaster, PA"
5/1/2014,1,carlosmr12,"Edmonton, Canada"
5/1/2014,6,chacewells,"Tacoma, WA"
5/1/2014,3,robertcasanova,Roncade
4/1/2014,2,RobLoach,"Toronto, ON"
4/1/2014,1,jszersze,"Reno, NV"
4/1/2014,4,tjdhome,"Austin, TX"
4/1/2014,3,fabiolnm,Rio de Janeiro
4/1/2014,1,dWhisper,Northwest Arkansas
4/1/2014,4,reywood,"San Diego, CA"
4/1/2014,4,nnpp,"Brooklyn, NY"
4/1/2014,2,EnsignR,"Melbourne, Australia"
4/1/2014,52,Paden,"El Paso, TX"
4/1/2014,2,carlosmr12,"Edmonton, Canada"
4/1/2014,3,juthilo,"M��nster, Germany"
4/1/2014,7,cjlpowers,Austin Texas
4/1/2014,2,nakula,India
4/1/2014,3,psgibbs,"San Francisco, CA"
4/1/2014,13,dvalys,"Austin, TX"
4/1/2014,1,embedthis,"Seattle, Washington. USA."
4/1/2014,4,hnrch02,"Vienna, Austria"
4/1/2014,1,haydenbleasel,"Sydney, Australia"
4/1/2014,2,jeffdm,Canada
4/1/2014,2,mattheworres,"New Castle, PA"
4/1/2014,1,zessx,Saint-Brieuc
4/1/2014,1,jstonne,"Kuala Lumpur, Malaysia"
4/1/2014,4,dminkovsky,Freenode (dimadima)
4/1/2014,22,hbillings,"Chicago, IL"
4/1/2014,11,the-real-girum,"Pleasanton, CA"
4/1/2014,1,ubenzer,��zmir / T��rkiye
4/1/2014,3,joebadmo,"Portland, OR"
4/1/2014,1,caizeng,foshan
4/1/2014,9,Tuxdude,"Mountain View, CA"
4/1/2014,1,jlwestsr,Springfield MO
4/1/2014,2,zoeesilcock,"Stockholm, Sweden"
4/1/2014,49,cvrebert,"Santa Monica, California, USA"
4/1/2014,11,ifduyue,"Beijing, China"
4/1/2014,11,mosoft521,Shanghai China
4/1/2014,6,pkozlowski-opensource,The internet
4/1/2014,60,kruser,"Austin, TX"
4/1/2014,1,t3chnoboy,Belarus
4/1/2014,2,TheComputerDude,"USA, Kansas"
4/1/2014,1,thejameskyle,Boston MA
4/1/2014,12,jasny,Amsterdam
4/1/2014,1,franksama,"Austin, TX"
4/1/2014,1,danielfaulknor,"Dunedin, New Zealand"
